"Spigen Back Cover for Apple iPhone 14 Pro Max  (Black, Shock Proof, Pack of: 1)","₹2,099",464,Spigen Liquid Air Back Cover Case for iPhone 14 Pro Max (TPU | Matte Black),Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/xif0q/cases-covers/back-cover/t/u/y/acs04813-spigen-original-imaggbbguy4ck83f.jpeg?q=70
"SHINESTAR. Back Cover for Apple iPhone 6s  (Blue, Silicon)",₹219,356,"SHINESTAR Introduces ULTRA THIN. Only 0.03 inches. The ultimate thin case if you are looking for elegant protection without adding bulk to your pocket or purse. This iPhone 6/ 6s case is slim, lightweight and one of the thinnest cases you can find.PREMIUM DESIGN. The material made with matte and Soft TPU frosted. This keeps your iPhone looking cool and pristine while showing off its original design,born for protect your iPhone.Full protection design philosophy, provide full protection for your iPhone. Truly return to the bare-metal feel.",Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/ku2zjww0/cases-covers/back-cover/8/c/2/tpu-6s-1-shinestar-original-imag7ayexnqmhkcw.jpeg?q=70
"KartV Back Cover for Realme C25Y, Realme C21Y  (Purple, Gold, Camera Bump Protector, Silicon, Pack of: 1)",₹299,369,"You can have both all round protection and convenience. It's protected from drops and scratches from all sides. Ultra durable due to the high density material used. Glossy finish with scratch proof coating every minimalists dream. Beautiful and tough. A treat for eyes, Comes in a Glossy finish and with a scratch proof coating for lasting durability. Upper lip build design to help protect the screen when face down on a flat surface. Slim and form fitted design the case easily covers your phone completely providing superior impact resistance in an extremely slim profile. Feather Light its sleek design provides ease and comfort in handling, without the additional weight and bulk of other traditional cases. Its unique air cushion technology and shock proof corners make your phone impact resistant from all angles on a drop.",Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/xif0q/cases-covers/back-cover/j/f/7/chrome-019-08-268-kartv-original-imaghbhv45fsbdgx.jpeg?q=70
"KartV Back Cover for Samsung Galaxy A12, Samsung Galaxy F12, Samsung Galaxy M12  (Blue, Gold, Camera Bump Protector, Silicon, Pack of: 1)",₹299,89,"You can have both all round protection and convenience. It's protected from drops and scratches from all sides. Ultra durable due to the high density material used. Glossy finish with scratch proof coating every minimalists dream. Beautiful and tough. A treat for eyes, Comes in a Glossy finish and with a scratch proof coating for lasting durability. Upper lip build design to help protect the screen when face down on a flat surface. Slim and form fitted design the case easily covers your phone completely providing superior impact resistance in an extremely slim profile. Feather Light its sleek design provides ease and comfort in handling, without the additional weight and bulk of other traditional cases. Its unique air cushion technology and shock proof corners make your phone impact resistant from all angles on a drop.",Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/xif0q/cases-covers/back-cover/f/f/i/chrome-019-08-395-kartv-original-imaghbhyzkfzhha8.jpeg?q=70
"BOZTI Back Cover for Vivo Y21, Vivo Y21 2021, Vivo Y33s  (Black, 3D Case, Pack of: 1)",₹299,70,"Provides excellent protection for your Phone. Luxurious Look Lightweight and stylish case. Slim fit snap-on case allows easy access to all buttons, controls and ports. The combination of two kinds of materials provides dual protection to your phone. Fashionable and attractive design for your cell phone and provides protection from scratches.",Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/xif0q/cases-covers/back-cover/h/8/s/6d-y21-2021-black-bozti-original-imaggn2vfapvnfpg.jpeg?q=70
"WEBKREATURE Back Cover for Vivo Y16  (Brown, Dual Protection, Pack of: 1)",₹215,356,"Invest in your brand new device's protection today through this fit to use executive leather stand wallet case flip cover and save yourself from the heartbreak and agony of watching the scratches and damages on your device multiply periodically. This sleek executive flip cover case is designed to a perfect fit on your mobile and glossy leather surface further adds to its polished looks. This pouch comes with inner TPU back cover that does not break easily and aids in shock absorption during impacts. This wallet case comes with card slots to store receipts, cards or emergency cash. You can now video chat or watch movies hands free in landscape mode with the wallet stand. Perfect and precise cutouts allow easy access to all ports.",Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/xif0q/cases-covers/back-cover/1/v/x/flip-cover-for-vivo-y16-brown-color-webkreature-original-imaggy5exdhhgbas.jpeg?q=70
"KartV Back Cover for Mi Redmi Note 8, Redmi Note 8  (Black, Gold, Camera Bump Protector, Silicon, Pack of: 1)",₹299,168,"You can have both all round protection and convenience. It's protected from drops and scratches from all sides. Ultra durable due to the high density material used. Glossy finish with scratch proof coating every minimalists dream. Beautiful and tough. A treat for eyes, Comes in a Glossy finish and with a scratch proof coating for lasting durability. Upper lip build design to help protect the screen when face down on a flat surface. Slim and form fitted design the case easily covers your phone completely providing superior impact resistance in an extremely slim profile. Feather Light its sleek design provides ease and comfort in handling, without the additional weight and bulk of other traditional cases. Its unique air cushion technology and shock proof corners make your phone impact resistant from all angles on a drop.",Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/xif0q/cases-covers/back-cover/9/y/9/chrome-019-08-351-kartv-original-imaghbhxdpqa54nk.jpeg?q=70
"CEDO XPRO Back Cover for Redmi 9 Prime  (Blue, Dual Protection, Silicon, Pack of: 1)",₹189,88,Original CEDO products are sold by JAIDEV MAL & SONS only. No other seller can provide you original products of CEDO. Full body protection protects your Phone and shock absorption protection from drops and bumps.,Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/xif0q/cases-covers/back-cover/9/h/x/candyxiomredmi9primeblu-cedo-xpro-original-imaghxdarhagkeyj.jpeg?q=70
"CASETON Back Cover for Vivo Y16  (Brown, Pack of: 1)",₹239,146,"Premium PU Leather - The leather case is made of top PU leather which is durable, breathable, wear-resistant and soft. Protect your phone while enjoying a stylish and beautiful appearance. Leather-style phone case provides full-body protection for your phone, protecting your phone from dust, scratches and abrasions. Note: It has no automatic wake/sleep function.",Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/xif0q/cases-covers/back-cover/g/m/i/y16-brwn-vntg-caseton-original-imagj62twhjvyh62.jpeg?q=70
"KartV Back Cover for Mi Redmi Note 10, Mi Redmi Note 10s, Redmi Note 10, Redmi Note 10s  (Black, Gold, Camera Bump Protector, Silicon, Pack of: 1)",₹299,317,"You can have both all round protection and convenience. It's protected from drops and scratches from all sides. Ultra durable due to the high density material used. Glossy finish with scratch proof coating every minimalists dream. Beautiful and tough. A treat for eyes, Comes in a Glossy finish and with a scratch proof coating for lasting durability. Upper lip build design to help protect the screen when face down on a flat surface. Slim and form fitted design the case easily covers your phone completely providing superior impact resistance in an extremely slim profile. Feather Light its sleek design provides ease and comfort in handling, without the additional weight and bulk of other traditional cases. Its unique air cushion technology and shock proof corners make your phone impact resistant from all angles on a drop.",Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/xif0q/cases-covers/back-cover/r/r/a/chrome-019-08-371-kartv-original-imaghbhw7j9agpkq.jpeg?q=70
"BOZTI Back Cover for Mi Redmi 9A, Redmi 9i  (Brown, Grip Case, Pack of: 1)",₹199,258,"Bozti Vntage Flip Cover Series Invest in your brand new device's protection today through this fit to use executive leather stand wallet case flip cover and save yourself from the heartbreak and agony of watching the scratches and damages on your device multiply periodically. This sleek executive flip cover case is designed to a perfect fit on your mobile and glossy leather surface further adds to its polished looks. This pouch comes with inner TPU back cover that does not break easily and aids in shock absorption during impacts. This wallet case comes with card slots to store receipts, cards or emergency cash. You can now video chat or watch movies hands free in landscape mode with the wallet stand. Perfect and precise cutouts allow easy access to all ports",Mobile Accessories,Mobile Cases,https://rukminim1.flixcart.com/image/612/612/xif0q/cases-covers/w/j/r/-original-imaggfv7ckx7rksk.jpeg?q=70
